dataset,mean,std
practical,-1.9547403904206824e-05,0.03486305540369913
mka,-5.0092589759476e-07,0.012785048889472838
custom_mac,1.6815817780417114e-06,0.0030431455371256644
custom_washing_machine,2.678807140246566e-07,0.002982419216486246
custom_dishwasher,-1.1959167198671555e-06,0.004135150616751273
noiseless,1.6620149104440939e-06,0.0027965012520944485
custom_open_window,8.138264979749143e-07,0.005566762767715354
all_w_custom,-4.176183278328944e-06,0.01337193777059802
all_w_custom_noisy,-2.40270608874048e-06,0.009453154811906422
all,-6.128771630452496e-06,0.016814868515088805
custom_noisy,-3.8069835955861547e-08,0.004228110866984291
custom,3.9184306754353173e-07,0.0039318695345196344
